Data,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2004-09-06,5.41051,-3.462358,-0.361335,-0.466368,3.128331,1.489535
2004-09-07,5.391886,-3.450353,-0.372908,-0.271295,3.157868,1.548566
2004-09-08,5.385978,-3.44795,-0.346505,-0.198077,3.137857,1.553148
2004-09-09,5.377333,-3.432592,-0.382208,-0.293482,3.271392,1.521143
2004-09-10,5.355732,-3.395283,-0.375382,-0.507894,3.279876,1.479197
2004-09-13,5.365402,-3.4144,-0.392852,-0.296918,3.312242,1.575132
2004-09-14,5.367759,-3.416192,-0.401331,-0.349662,3.311395,1.571843
2004-09-15,5.358261,-3.403146,-0.394387,-0.359843,3.300079,1.573123
2004-09-16,5.344475,-3.384598,-0.385639,-0.331579,3.290072,1.582903
2004-09-17,5.329382,-3.352071,-0.389468,-0.513191,3.285137,1.545061
2004-09-20,5.311582,-3.340882,-0.400759,-0.465314,3.307064,1.579832
2004-09-21,5.316766,-3.345874,-0.404348,-0.418107,3.313201,1.608639
2004-09-22,5.288747,-3.314467,-0.407773,-0.41037,3.323623,1.618347
2004-09-23,5.253548,-3.269991,-0.432389,-0.593371,3.390127,1.562785
2004-09-24,5.26471,-3.276933,-0.379458,-0.492621,3.360796,1.594566
2004-09-27,5.253619,-3.264359,-0.406792,-0.530257,3.381431,1.615821
2004-09-28,5.225969,-3.240747,-0.269781,-0.95952,3.016436,2.123408
2004-09-29,5.266523,-3.280723,-0.257037,-0.879122,3.034156,2.243265
2004-09-30,5.340518,-3.395727,-0.315219,-0.7211,3.152546,2.578964
2004-10-01,5.341975,-3.349416,-0.29972,-1.025981,3.001751,2.138339
2004-10-04,5.322765,-3.339854,-0.238226,-0.950022,2.95754,2.147792
2004-10-05,5.296801,-3.309165,-0.2643,-0.981123,2.988279,2.144351
2004-10-06,5.277725,-3.285321,-0.256977,-0.999105,2.974936,2.114445
2004-10-07,5.293635,-3.299416,-0.254627,-1.027483,2.967381,2.076934
2004-10-08,5.265467,-3.272119,-0.275895,-1.162594,3.022789,1.920927
2004-10-11,5.294486,-3.288028,-0.292552,-1.196155,3.037379,1.910834
2004-10-12,5.263512,-3.25526,-0.314529,-1.251503,3.073711,1.877548
